order_item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,428,5,33.08,10
2,1,947,4,402.05,0
3,1,975,2,419.67,0
4,1,667,5,162.53,0
5,1,754,2,469.72,0
6,2,179,4,51.28,0
7,2,791,4,33.08,5
8,3,305,3,156.3,15
9,3,291,4,149.37,5
10,4,758,4,383.35,10
11,4,585,2,482.98,0
12,4,487,1,154.11,0
13,4,919,5,161.64,0
14,4,19,3,425.07,10
15,5,922,5,156.02,20
16,5,520,4,293.6,5
17,6,869,3,213.97,0
18,6,145,1,262.63,20
19,6,862,5,262.77,20
20,6,668,1,252.37,0
21,7,693,1,194.6,0
22,7,108,3,40.09,0
23,7,278,4,210.66,0
24,7,356,1,223.66,15
25,7,786,5,58.72,15
26,7,655,2,218.25,10
27,8,99,3,324.22,5
28,8,580,5,25.31,15
29,8,985,2,378.2,0
30,8,793,1,117.98,10
31,9,808,3,255.11,10
32,9,275,3,103.95,0
33,9,835,1,419.11,10
34,9,400,3,348.89,10
35,9,103,5,343.78,15
36,9,828,4,18.18,0
37,10,214,5,75.85,0
38,10,167,2,60.23,5
39,10,203,3,334.23,5
40,10,44,3,338.12,20
41,10,467,5,139.33,0
42,11,171,4,104.22,10
43,11,30,3,74.79,0
44,11,601,4,290.72,0
45,11,560,1,176.71,0
46,12,448,2,124.83,0
47,12,32,3,364.84,10
48,12,390,5,145.33,15
49,13,597,1,289.11,15
50,13,871,3,422.42,15
51,14,758,1,383.35,20
52,14,96,1,147.61,0
53,14,233,3,301.67,15
54,14,281,1,48.04,15
55,14,428,5,33.08,10
56,15,251,1,482.96,5
57,16,574,5,81.11,0
58,16,712,3,335.92,10
59,16,2,5,102.25,10
60,16,3,1,371.53,10
61,16,411,3,105.96,0
62,17,657,1,307.39,0
63,17,365,2,42.36,0
64,17,116,4,444.11,0
65,17,415,2,348.42,0
66,17,294,1,48.38,15
67,18,751,5,342.48,15
68,18,372,2,160.63,5
69,18,277,5,35.35,20
70,18,412,2,84.16,5
71,19,581,3,274.82,0
72,19,729,2,80.51,0
73,20,774,4,438.66,0
74,21,461,5,329.93,0
75,21,580,5,25.31,20
76,22,215,5,466.22,0
77,23,485,2,204.53,0
78,23,215,3,466.22,15
79,23,286,1,252.19,0
80,23,705,5,372.25,5
81,23,88,1,328.68,20
82,24,185,3,206.12,0
83,24,622,4,325.98,0
84,24,262,4,191.11,0
85,24,463,4,188.41,10
86,24,382,2,358.52,0
87,25,881,2,495.9,10
88,25,956,1,375.15,5
89,25,532,2,303.9,15
90,25,649,3,121.03,0
91,25,201,1,491.66,15
92,26,64,3,363.73,15
93,26,505,4,261.75,10
94,26,391,3,307.64,10
95,26,221,1,493.93,0
96,26,205,5,286.62,5
97,26,409,4,319.15,0
98,27,601,4,290.72,0
99,28,993,5,375.09,0
100,29,448,1,124.83,0
101,29,567,3,357.53,5
102,29,522,2,146.38,5
103,30,130,2,434.15,20
104,30,705,4,372.25,0
105,30,200,5,255.27,10
106,31,116,2,444.11,0
107,31,236,1,153.47,15
108,31,579,5,109.96,0
109,31,960,2,142.49,20
110,31,914,3,342.66,20
111,32,968,1,384.8,0
112,32,726,5,300.0,0
113,33,275,5,103.95,10
114,33,886,4,427.41,15
115,34,347,4,131.68,15
116,35,694,4,76.84,0
117,35,356,4,223.66,20
118,35,612,3,197.45,15
119,36,881,4,495.9,5
