order_id,customer_id,order_date,order_status,payment_method,shipping_cost
1,1417,2025-01-22 18:17:39,Completed,PayPal,8.06
2,7220,2025-01-08 18:17:39,Completed,Credit Card,12.67
3,7445,2025-12-06 18:17:39,Completed,Bank Transfer,19.45
4,2858,2025-12-08 18:17:39,Completed,Credit Card,22.28
5,2498,2025-10-17 18:17:39,Completed,PayPal,10.63
6,6445,2025-06-17 18:17:39,Completed,PayPal,12.52
7,1260,2025-08-05 18:17:39,Cancelled,Credit Card,10.94
8,5799,2025-10-27 18:17:39,Completed,Credit Card,12.7
9,3692,2025-06-26 18:17:39,Completed,Credit Card,21.66
10,3343,2025-08-09 18:17:39,Completed,PayPal,13.74
11,7404,2025-07-11 18:17:39,Completed,Credit Card,13.19
12,7895,2025-07-14 18:17:39,Completed,PayPal,11.08
13,7213,2025-10-24 18:17:39,Completed,PayPal,21.09
14,5495,2025-03-22 18:17:39,Completed,PayPal,19.48
15,2797,2025-12-16 18:17:39,Completed,PayPal,16.95
16,6993,2025-05-09 18:17:39,Completed,PayPal,10.78
17,7372,2025-09-25 18:17:39,Completed,PayPal,10.44
18,7902,2025-02-07 18:17:39,Cancelled,Bank Transfer,23.54
19,656,2025-12-17 18:17:39,Completed,PayPal,22.01
20,8382,2025-11-10 18:17:39,Pending,Credit Card,6.38
21,7016,2025-01-19 18:17:39,Completed,PayPal,12.6
22,5624,2025-04-26 18:17:39,Cancelled,Bank Transfer,12.41
23,1507,2025-02-14 18:17:39,Completed,PayPal,21.24
24,4180,2024-12-29 18:17:39,Completed,PayPal,5.46
25,4279,2025-04-15 18:17:39,Pending,Bank Transfer,24.51
26,997,2025-12-22 18:17:39,Cancelled,PayPal,21.75
27,439,2025-09-24 18:17:39,Cancelled,Credit Card,11.77
28,6050,2025-06-25 18:17:39,Cancelled,Bank Transfer,23.95
29,3677,2025-08-02 18:17:39,Completed,PayPal,10.26
30,9206,2025-08-13 18:17:39,Completed,Bank Transfer,13.98
31,9260,2025-12-26 18:17:39,Pending,PayPal,7.66
32,4792,2025-03-19 18:17:39,Cancelled,Bank Transfer,24.67
33,4969,2025-04-15 18:17:39,Pending,Bank Transfer,8.35
34,7823,2025-06-12 18:17:39,Pending,Bank Transfer,10.12
