product_id,product_name,category,price,cost,stock_quantity,supplier_id
1,Electronics Product 1,Electronics,484.83,290.9,683,3
2,Home & Garden Product 2,Home & Garden,102.25,61.35,505,22
3,Clothing Product 3,Clothing,371.53,222.92,107,22
4,Sports Product 4,Sports,183.66,110.2,962,43
5,Clothing Product 5,Clothing,447.64,268.58,635,21
6,Electronics Product 6,Electronics,360.93,216.56,253,36
7,Sports Product 7,Sports,27.53,16.52,202,38
8,Electronics Product 8,Electronics,114.33,68.6,507,19
9,Books Product 9,Books,220.38,132.23,870,24
10,Sports Product 10,Sports,241.27,144.76,376,14
11,Home & Garden Product 11,Home & Garden,471.82,283.09,909,21
12,Clothing Product 12,Clothing,136.77,82.06,715,32
13,Home & Garden Product 13,Home & Garden,108.95,65.37,956,9
14,Sports Product 14,Sports,10.51,6.31,107,11
15,Electronics Product 15,Electronics,234.51,140.71,45,49
16,Electronics Product 16,Electronics,111.67,67.0,552,6
17,Electronics Product 17,Electronics,66.68,40.01,255,41
18,Clothing Product 18,Clothing,403.08,241.85,5,33
19,Clothing Product 19,Clothing,425.07,255.04,263,7
20,Sports Product 20,Sports,14.72,8.83,701,40
21,Electronics Product 21,Electronics,292.63,175.58,355,32
22,Books Product 22,Books,272.04,163.22,815,23
23,Electronics Product 23,Electronics,444.45,266.67,408,6
24,Books Product 24,Books,19.05,11.43,901,26
25,Home & Garden Product 25,Home & Garden,163.09,97.85,917,39
26,Electronics Product 26,Electronics,147.54,88.52,802,38
27,Home & Garden Product 27,Home & Garden,374.98,224.99,723,26
28,Electronics Product 28,Electronics,222.74,133.64,662,10
29,Clothing Product 29,Clothing,347.84,208.7,477,45
30,Sports Product 30,Sports,74.79,44.87,107,2
31,Home & Garden Product 31,Home & Garden,141.6,84.96,663,3
32,Clothing Product 32,Clothing,364.84,218.9,19,48
33,Clothing Product 33,Clothing,266.38,159.83,309,27
34,Home & Garden Product 34,Home & Garden,363.31,217.99,598,10
35,Electronics Product 35,Electronics,356.57,213.94,601,21
36,Sports Product 36,Sports,275.06,165.04,827,26
37,Home & Garden Product 37,Home & Garden,438.04,262.82,639,37
38,Clothing Product 38,Clothing,426.41,255.85,684,38
39,Sports Product 39,Sports,489.82,293.89,360,13
40,Books Product 40,Books,482.06,289.24,545,3
41,Clothing Product 41,Clothing,124.31,74.59,301,36
42,Sports Product 42,Sports,211.2,126.72,803,41
43,Home & Garden Product 43,Home & Garden,158.79,95.27,229,47
44,Clothing Product 44,Clothing,338.12,202.87,786,29
45,Clothing Product 45,Clothing,195.09,117.05,659,42
46,Electronics Product 46,Electronics,314.04,188.42,865,4
47,Books Product 47,Books,171.35,102.81,347,15
48,Sports Product 48,Sports,305.4,183.24,453,26
49,Clothing Product 49,Clothing,61.3,36.78,732,14
50,Home & Garden Product 50,Home & Garden,98.06,58.84,586,2
51,Electronics Product 51,Electronics,87.64,52.58,954,38
52,Clothing Product 52,Clothing,324.72,194.83,550,22
53,Clothing Product 53,Clothing,425.01,255.01,302,26
54,Electronics Product 54,Electronics,165.5,99.3,808,11
55,Electronics Product 55,Electronics,380.19,228.11,436,32
56,Sports Product 56,Sports,370.22,222.13,840,34
57,Books Product 57,Books,210.36,126.22,90,2
58,Sports Product 58,Sports,473.26,283.96,437,21
59,Books Product 59,Books,443.95,266.37,456,33
60,Clothing Product 60,Clothing,355.78,213.47,132,48
61,Home & Garden Product 61,Home & Garden,425.29,255.17,369,36
62,Clothing Product 62,Clothing,380.18,228.11,223,36
63,Home & Garden Product 63,Home & Garden,132.77,79.66,653,3
64,Home & Garden Product 64,Home & Garden,363.73,218.24,641,22
65,Electronics Product 65,Electronics,347.82,208.69,902,37
66,Books Product 66,Books,205.71,123.43,539,13
67,Home & Garden Product 67,Home & Garden,194.74,116.84,971,25
68,Books Product 68,Books,380.19,228.11,535,8
69,Home & Garden Product 69,Home & Garden,154.16,92.5,543,26
70,Electronics Product 70,Electronics,77.35,46.41,728,26
71,Home & Garden Product 71,Home & Garden,494.22,296.53,187,44
72,Books Product 72,Books,357.74,214.64,228,5
73,Home & Garden Product 73,Home & Garden,334.77,200.86,206,2
74,Sports Product 74,Sports,18.16,10.9,913,39
75,Electronics Product 75,Electronics,312.8,187.68,815,19
76,Books Product 76,Books,351.05,210.63,528,28
77,Electronics Product 77,Electronics,47.09,28.25,63,33
78,Clothing Product 78,Clothing,456.89,274.13,244,18
79,Home & Garden Product 79,Home & Garden,44.52,26.71,620,34
80,Clothing Product 80,Clothing,305.42,183.25,661,48
81,Home & Garden Product 81,Home & Garden,180.06,108.04,771,6
82,Books Product 82,Books,112.28,67.37,797,32
83,Books Product 83,Books,265.23,159.14,311,42
84,Sports Product 84,Sports,378.85,227.31,725,20
85,Clothing Product 85,Clothing,442.94,265.76,24,30
86,Home & Garden Product 86,Home & Garden,118.96,71.38,864,9
87,Electronics Product 87,Electronics,412.18,247.31,609,23
88,Electronics Product 88,Electronics,328.68,197.21,821,4
89,Sports Product 89,Sports,259.1,155.46,457,29
90,Home & Garden Product 90,Home & Garden,173.68,104.21,35,50
91,Home & Garden Product 91,Home & Garden,103.15,61.89,767,21
92,Sports Product 92,Sports,399.76,239.86,870,41
93,Sports Product 93,Sports,359.36,215.62,667,15
94,Sports Product 94,Sports,430.73,258.44,213,14
95,Sports Product 95,Sports,43.3,25.98,185,17
96,Sports Product 96,Sports,147.61,88.57,364,49
97,Electronics Product 97,Electronics,417.18,250.31,752,15
98,Clothing Product 98,Clothing,311.75,187.05,447,27
99,Electronics Product 99,Electronics,324.22,194.53,520,50
100,Clothing Product 100,Clothing,480.76,288.46,270,42
101,Clothing Product 101,Clothing,214.12,128.47,558,22
102,Electronics Product 102,Electronics,227.37,136.42,165,45
103,Sports Product 103,Sports,343.78,206.27,762,32
104,Sports Product 104,Sports,109.45,65.67,780,25
105,Electronics Product 105,Electronics,137.61,82.57,934,26
106,Electronics Product 106,Electronics,49.21,29.53,685,17
107,Electronics Product 107,Electronics,301.78,181.07,313,2
108,Electronics Product 108,Electronics,40.09,24.05,745,38
109,Clothing Product 109,Clothing,170.43,102.26,692,33
110,Clothing Product 110,Clothing,453.41,272.05,693,22
111,Books Product 111,Books,330.84,198.5,436,9
112,Sports Product 112,Sports,264.94,158.96,640,36
113,Sports Product 113,Sports,244.01,146.41,391,22
114,Home & Garden Product 114,Home & Garden,10.07,6.04,229,20
115,Sports Product 115,Sports,383.33,230.0,289,23
116,Electronics Product 116,Electronics,444.11,266.47,462,18
117,Electronics Product 117,Electronics,391.98,235.19,544,42
118,Clothing Product 118,Clothing,214.89,128.93,364,42
119,Sports Product 119,Sports,482.41,289.45,185,37
120,Clothing Product 120,Clothing,457.41,274.45,385,31
121,Home & Garden Product 121,Home & Garden,200.36,120.22,465,24
122,Home & Garden Product 122,Home & Garden,177.11,106.27,844,17
123,Electronics Product 123,Electronics,124.84,74.9,312,38
124,Books Product 124,Books,380.43,228.26,993,37
125,Clothing Product 125,Clothing,306.48,183.89,369,40
126,Home & Garden Product 126,Home & Garden,171.33,102.8,408,43
127,Home & Garden Product 127,Home & Garden,317.91,190.75,173,12
128,Electronics Product 128,Electronics,429.46,257.68,268,29
129,Electronics Product 129,Electronics,172.53,103.52,906,17
130,Sports Product 130,Sports,434.15,260.49,366,33
131,Clothing Product 131,Clothing,309.06,185.44,785,46
132,Electronics Product 132,Electronics,43.35,26.01,575,47
133,Sports Product 133,Sports,198.69,119.21,707,39
134,Clothing Product 134,Clothing,419.06,251.44,63,18
135,Clothing Product 135,Clothing,260.61,156.37,339,47
136,Clothing Product 136,Clothing,434.41,260.65,531,29
137,Electronics Product 137,Electronics,427.13,256.28,361,50
138,Books Product 138,Books,124.34,74.6,667,42
139,Home & Garden Product 139,Home & Garden,120.11,72.07,134,38
140,Books Product 140,Books,347.69,208.61,477,46
141,Clothing Product 141,Clothing,279.07,167.44,318,18
142,Clothing Product 142,Clothing,403.53,242.12,62,10
143,Books Product 143,Books,449.53,269.72,787,17
144,Books Product 144,Books,384.68,230.81,308,45
145,Sports Product 145,Sports,262.63,157.58,394,45
146,Books Product 146,Books,358.51,215.11,571,41
147,Books Product 147,Books,32.91,19.75,729,29
148,Sports Product 148,Sports,107.69,64.61,918,17
149,Clothing Product 149,Clothing,248.94,149.36,314,29
150,Sports Product 150,Sports,60.76,36.46,359,29
151,Books Product 151,Books,233.49,140.09,491,35
152,Electronics Product 152,Electronics,177.27,106.36,416,8
153,Sports Product 153,Sports,86.86,52.12,758,32
154,Clothing Product 154,Clothing,195.26,117.16,485,6
155,Clothing Product 155,Clothing,373.61,224.17,739,32
156,Clothing Product 156,Clothing,40.9,24.54,20,45
157,Clothing Product 157,Clothing,453.84,272.3,582,45
158,Electronics Product 158,Electronics,204.92,122.95,425,50
159,Electronics Product 159,Electronics,217.86,130.72,318,48
160,Sports Product 160,Sports,312.49,187.49,558,34
161,Books Product 161,Books,325.09,195.05,441,31
162,Sports Product 162,Sports,94.42,56.65,754,5
163,Books Product 163,Books,77.92,46.75,319,30
164,Books Product 164,Books,487.09,292.25,645,12
165,Clothing Product 165,Clothing,136.24,81.74,414,42
166,Books Product 166,Books,217.57,130.54,43,44
167,Sports Product 167,Sports,60.23,36.14,862,29
168,Electronics Product 168,Electronics,322.55,193.53,531,43
169,Books Product 169,Books,186.06,111.64,624,10
170,Home & Garden Product 170,Home & Garden,233.49,140.09,379,45
171,Clothing Product 171,Clothing,104.22,62.53,323,10
172,Books Product 172,Books,256.35,153.81,26,40
173,Clothing Product 173,Clothing,153.23,91.94,71,15
174,Sports Product 174,Sports,127.2,76.32,349,18
175,Clothing Product 175,Clothing,497.86,298.72,489,49
176,Electronics Product 176,Electronics,482.39,289.43,354,21
177,Books Product 177,Books,496.02,297.61,878,12
178,Electronics Product 178,Electronics,283.11,169.87,846,37
179,Home & Garden Product 179,Home & Garden,51.28,30.77,94,39
180,Electronics Product 180,Electronics,230.96,138.58,26,28
181,Sports Product 181,Sports,241.36,144.82,437,43
182,Books Product 182,Books,106.74,64.04,891,8
183,Clothing Product 183,Clothing,57.62,34.57,868,26
184,Home & Garden Product 184,Home & Garden,163.23,97.94,566,13
185,Clothing Product 185,Clothing,206.12,123.67,303,11
186,Home & Garden Product 186,Home & Garden,167.97,100.78,8,15
187,Home & Garden Product 187,Home & Garden,129.97,77.98,711,48
188,Clothing Product 188,Clothing,409.52,245.71,90,3
189,Electronics Product 189,Electronics,88.64,53.18,970,20
190,Sports Product 190,Sports,231.07,138.64,787,39
191,Electronics Product 191,Electronics,153.19,91.91,602,43
192,Books Product 192,Books,185.5,111.3,584,49
193,Sports Product 193,Sports,240.9,144.54,238,7
194,Sports Product 194,Sports,10.91,6.55,438,35
195,Clothing Product 195,Clothing,191.15,114.69,200,12
196,Electronics Product 196,Electronics,42.82,25.69,272,14
197,Home & Garden Product 197,Home & Garden,160.24,96.14,397,13
198,Sports Product 198,Sports,438.65,263.19,630,33
199,Books Product 199,Books,346.37,207.82,996,15
200,Sports Product 200,Sports,255.27,153.16,240,27
201,Home & Garden Product 201,Home & Garden,491.66,295.0,319,47
202,Home & Garden Product 202,Home & Garden,449.9,269.94,519,8
203,Electronics Product 203,Electronics,334.23,200.54,953,13
204,Clothing Product 204,Clothing,394.15,236.49,880,29
205,Clothing Product 205,Clothing,286.62,171.97,648,2
206,Sports Product 206,Sports,412.14,247.28,803,2
207,Home & Garden Product 207,Home & Garden,78.9,47.34,594,19
208,Clothing Product 208,Clothing,311.84,187.1,884,9
209,Electronics Product 209,Electronics,53.89,32.33,849,12
210,Home & Garden Product 210,Home & Garden,228.98,137.39,979,14
211,Home & Garden Product 211,Home & Garden,34.57,20.74,616,43
212,Sports Product 212,Sports,275.33,165.2,173,4
213,Books Product 213,Books,293.72,176.23,212,33
214,Sports Product 214,Sports,75.85,45.51,121,7
215,Clothing Product 215,Clothing,466.22,279.73,220,33
216,Clothing Product 216,Clothing,364.41,218.65,629,33
217,Clothing Product 217,Clothing,297.89,178.73,840,39
218,Electronics Product 218,Electronics,61.38,36.83,910,1
219,Home & Garden Product 219,Home & Garden,314.62,188.77,962,20
220,Sports Product 220,Sports,492.29,295.37,80,28
221,Books Product 221,Books,493.93,296.36,62,47
222,Sports Product 222,Sports,261.3,156.78,972,16
223,Electronics Product 223,Electronics,162.08,97.25,990,2
224,Electronics Product 224,Electronics,433.57,260.14,334,44
225,Home & Garden Product 225,Home & Garden,436.38,261.83,533,2
226,Electronics Product 226,Electronics,403.89,242.33,787,13
227,Electronics Product 227,Electronics,411.85,247.11,924,18
228,Clothing Product 228,Clothing,459.65,275.79,426,1
229,Home & Garden Product 229,Home & Garden,251.86,151.12,200,12
230,Electronics Product 230,Electronics,370.33,222.2,110,8
231,Home & Garden Product 231,Home & Garden,140.37,84.22,340,40
232,Books Product 232,Books,73.73,44.24,83,49
233,Sports Product 233,Sports,301.67,181.0,991,7
234,Books Product 234,Books,195.67,117.4,906,40
235,Electronics Product 235,Electronics,305.11,183.07,68,16
236,Sports Product 236,Sports,153.47,92.08,501,42
237,Sports Product 237,Sports,165.33,99.2,716,37
238,Clothing Product 238,Clothing,18.85,11.31,861,24
239,Books Product 239,Books,158.29,94.97,649,14
240,Sports Product 240,Sports,22.28,13.37,583,2
241,Electronics Product 241,Electronics,216.07,129.64,532,1
242,Electronics Product 242,Electronics,380.6,228.36,348,43
243,Clothing Product 243,Clothing,495.11,297.07,426,2
244,Books Product 244,Books,198.65,119.19,215,39
245,Home & Garden Product 245,Home & Garden,188.32,112.99,864,13
246,Home & Garden Product 246,Home & Garden,448.48,269.09,504,14
247,Clothing Product 247,Clothing,38.82,23.29,870,38
248,Sports Product 248,Sports,26.35,15.81,119,24
249,Clothing Product 249,Clothing,174.04,104.42,823,41
250,Electronics Product 250,Electronics,185.82,111.49,183,50
251,Home & Garden Product 251,Home & Garden,482.96,289.78,762,12
252,Home & Garden Product 252,Home & Garden,341.81,205.09,574,35
253,Books Product 253,Books,326.96,196.18,704,35
254,Electronics Product 254,Electronics,433.44,260.06,307,39
255,Sports Product 255,Sports,31.17,18.7,421,18
256,Books Product 256,Books,442.9,265.74,338,21
257,Home & Garden Product 257,Home & Garden,490.97,294.58,99,44
258,Sports Product 258,Sports,289.38,173.63,215,11
259,Home & Garden Product 259,Home & Garden,25.48,15.29,340,49
260,Sports Product 260,Sports,380.79,228.47,688,19
261,Electronics Product 261,Electronics,49.47,29.68,655,37
262,Clothing Product 262,Clothing,191.11,114.67,580,7
263,Electronics Product 263,Electronics,124.88,74.93,659,50
264,Books Product 264,Books,46.06,27.64,405,50
265,Sports Product 265,Sports,253.83,152.3,703,2
266,Books Product 266,Books,435.01,261.01,368,10
267,Electronics Product 267,Electronics,491.32,294.79,935,22
268,Books Product 268,Books,426.74,256.04,387,34
269,Electronics Product 269,Electronics,137.97,82.78,193,39
